player_id,player_name,Cluster,Player_Label,Player_Score,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AVG_MIN
203471,Dennis Schröder,0,Role-Player,-0.24494095774898988,80,58,2486.0,5.8,13.4,0.435,2.0,5.3,0.375,2.6,3.1,0.836,0.6,2.9,3.5,7.1,0.9,0.2,2.2,2.4,16.2,31.075
203084,Harrison Barnes,0,Role-Player,-0.24509320061974232,82,82,2381.0,5.2,11.1,0.474,2.3,5.8,0.387,2.4,3.0,0.801,1.0,2.8,3.8,1.5,0.8,0.2,0.9,1.5,15.1,29.036585365853657
1641718,Keyonte George,0,Role-Player,-0.256516545629672,75,44,2023.0,5.7,14.5,0.391,2.6,7.8,0.334,3.4,4.0,0.848,0.3,3.5,3.8,5.9,0.6,0.1,3.3,1.6,17.3,26.973333333333333
1631093,Jaden Ivey,0,Role-Player,-0.25910820311998434,77,61,2218.0,6.8,15.8,0.429,2.0,6.0,0.336,3.7,4.9,0.749,1.4,2.9,4.3,4.8,0.9,0.7,3.1,3.3,19.2,28.805194805194805
1629023,P.J. Washington,3,Benchwarmer,-0.27631849283056387,73,45,2221.0,5.7,13.1,0.436,2.1,6.7,0.32,1.6,2.4,0.683,1.4,5.3,6.7,2.3,1.2,1.0,1.6,2.7,15.2,30.424657534246574
1629622,Max Strus,3,Benchwarmer,-0.28320700719118835,70,70,2239.0,4.9,11.7,0.418,2.7,7.7,0.351,1.2,1.6,0.794,1.1,4.4,5.4,4.5,1.0,0.5,1.8,2.7,13.7,31.985714285714284
1630245,Ayo Dosunmu,3,Benchwarmer,-0.29449162377108073,76,37,2212.0,5.9,11.7,0.501,1.9,4.8,0.403,1.4,1.7,0.81,0.9,2.6,3.5,3.9,1.1,0.6,1.7,2.7,15.0,29.105263157894736
1631133,Jabari Walker,3,Benchwarmer,-0.30402138941142864,72,23,1701.0,5.0,10.8,0.46,0.9,2.9,0.295,2.7,3.6,0.754,3.2,7.6,10.8,1.5,0.9,0.5,1.4,3.7,13.5,23.625
201569,Eric Gordon,3,Benchwarmer,-0.30530128662347444,68,24,1893.0,5.2,11.8,0.443,2.9,7.6,0.378,1.0,1.2,0.797,0.3,2.0,2.3,2.6,1.3,0.6,1.4,1.5,14.2,27.83823529411765
1641717,Cason Wallace,3,Benchwarmer,-0.3074154024907034,82,13,1692.0,4.6,9.4,0.491,2.1,5.0,0.419,0.6,0.8,0.784,1.1,2.9,4.0,2.6,1.6,0.8,1.0,2.7,11.9,20.634146341463413
